epsd_form,etcsl_form,etcsri_form,comp1_wr
a[arm] aŋ[measure],,,a₂
a[arm] bad[open],,,a₂
a[arm] dar[split],,,a₂
a[arm] dub[tremble],,,a₂
a[arm] e[leave],,,a₂
a[arm] ŋal[be],,,a₂
a[arm] ŋar[place],,,a₂
a[arm] gur[turn],,,a₂
a[arm] il[raise],,,a₂
a[arm] la[hang],,,a₂
a[arm] mah[great],,,a₂
a[arm] pad[find],,,a₂
a[arm] sud[distant],,,a₂
a[arm] šum[give],,,a₂
a[arm] tal[broad],,,a₂
a[arm] tal[clamor],,,a₂
a[arm] tulu[slacken],,,a₂
a[arm] us[lean],a[arm] us[follow],,a₂
a[arm] zig[rise],,,a₂
a[water] de[pour],,,a
a[water] dug[speak],,,a
a[water] ŋar[place],,,a
a[water] gi[turn],,,a
a[water] rah[beat],,,a
a[water] ri[impose],,,a
a[water] sur[press],,,a
a[water] tu[cvve],,,a
ad[voice] ŋar[place],,,ad
ad[voice] gi[turn],,,ad
ad[voice] ša[cvve],,,ad
aga[ax] kar[blow],,,
agakar[conqueror] sig[place],agakar[conquest] sig[put],agakar[conqueror] sig[put],aga₃
al[hoe] ak[do],,,al {ŋeš}al
al[hoe] du[build],,,al {ŋeš}al
al[hoe] dug[speak],,,al {ŋeš}al
aš[curse] bala[turn],,,aš₂
aš[curse] sar[run],,,aš₂
a'ur[armpit] dab[seize],aʾur[armpit] dab[seize],,
bar[outside] huŋ[hire],,,bar
bar[outside] sag[good],,,bar
bar[outside] sed[cold],,,bar
bar[outside] tab[burn],,,bar
budbad[sound] za[cvve],,,
bulbal[sound] za[cvve],,,
burburbabbar[noise] za[cvve],,,
daŋal[wide] tag[touch],,,daŋal
dalla[ring] e[leave],dalla[bright] e[leave],,dalla
did[lawsuit] ŋar[place],,,di
did[lawsuit] kud[cut],,,di
dub[knee] bad[open],,,dub₃
dub[knee] dub[tremble],,,dub₃
dub[knee] ŋal[be],,,dub₃
dub[knee] ŋar[place],,,dub₃
dub[knee] gurum[bend],,,dub₃
dub[knee] nir[winnow],,,dub₃
dub[knee] sil[split],,,dub₃
dub[tablet] bala[turn],,,
dubdab[noise] za[cvve],,,
dubuldabal[sound] za[cvve],,,
dud[combat] ŋar[place],,,du₁₄
dud[combat] mu[grow],,,du₁₄
dumdam[clamor] ak[do],dumdam[sound] ak[do],,dum-dam
dumdam[clamor] za[cvve],dumdam[sound] za[cvve],,dum-dam
