,compound_,all_middle_,all_middle_count
5,a[arm] a?[measure],:,95
1,a[arm] a?[measure],-bi:,18
3,a[arm] a?[measure],-še?:,4
2,a[arm] a?[measure],-zu:,2
6,a[arm] a?[measure],:gal[big],2
0,a[arm] a?[measure],-ba:,1
4,a[arm] a?[measure],-še?:ki?[work],1
7,a[arm] a?[measure],:kilulak[murder],1
8,a[arm] a?[measure],:nun[prince],1
10,a[arm] bad[open],:,15
9,a[arm] bad[open],-na:,1
11,a[arm] dar[split],:,1
13,a[arm] dub[tremble],:,5
12,a[arm] dub[tremble],-ba:,1
22,a[arm] e[leave],:,14
16,a[arm] e[leave],-bi:,3
18,a[arm] e[leave],-ni:,3
14,a[arm] e[leave],-bi-ta:,1
15,a[arm] e[leave],-bi-še?:,1
17,a[arm] e[leave],-bi:erimdu[hostile],1
19,a[arm] e[leave],-ta:,1
20,a[arm] e[leave],-zu:,1
21,a[arm] e[leave],-?:,1
23,a[arm] e[leave],:a?[measure],1
24,a[arm] e[leave],:hul[rejoice],1
27,a[arm] gur[turn],:,2
25,a[arm] gur[turn],-bi-še?:lu[person],1
26,a[arm] gur[turn],-bi:lu[person],1
28,a[arm] il[raise],:,7
29,a[arm] il[raise],:huš[reddish],1
30,a[arm] il[raise],:mah[great],1
36,a[arm] la[hang],:,11
31,a[arm] la[hang],-na:,4
34,a[arm] la[hang],-ni:ala[manacles],3
32,a[arm] la[hang],-ne-ne-a:,1
33,a[arm] la[hang],-ni:,1
35,a[arm] la[hang],-zu:ala[manacles],1
37,a[arm] la[hang],:a?[measure],1
38,a[arm] la[hang],:šudul[yoke],1
40,a[arm] mah[great],:,59
41,a[arm] mah[great],:gal[big],2
42,a[arm] mah[great],:namursa?[heroism],2
39,a[arm] mah[great],-bi:Anzud[1],1
44,a[arm] pad[find],:,4
43,a[arm] pad[find],-bi:,1
45,a[arm] pad[find],:gal[big],1
46,a[arm] pad[find],:mah[great],1
52,a[arm] sud[distant],:,11
47,a[arm] sud[distant],-bi:,4
48,a[arm] sud[distant],-ni:,2
50,a[arm] sud[distant],-?u??:,2
49,a[arm] sud[distant],-zu:,1
51,a[arm] sud[distant],-?u??:gu[cord],1
53,a[arm] sud[distant],:da?al[wide],1
54,a[arm] sud[distant],:gal[big],1
55,a[arm] sud[distant],:kug[pure],1
56,a[arm] sud[distant],:mah[great],1
57,a[arm] tal[broad],:,7
58,a[arm] tal[broad],:bad[open],1
59,a[arm] tulu[slacken],:,1
61,a[arm] zig[rise],:,14
60,a[arm] zig[rise],-zu:,1
62,a[arm] zig[rise],:1[1],1
68,a[arm] ?al[be],:nun[prince],7
67,a[arm] ?al[be],:,2
63,a[arm] ?al[be],-bi:,1
64,a[arm] ?al[be],-na:,1
65,a[arm] ?al[be],-zu-a:lirum[strength],1
66,a[arm] ?al[be],-?:lirum[strength],1
69,a[arm] ?al[be],:piri?[lion],1
70,a[arm] ?al[be],:sig[weak],1
75,a[arm] ?ar[place],:,11
71,a[arm] ?ar[place],-ba:?eš[tree],3
80,a[arm] ?ar[place],:?eš[tree],3
74,a[arm] ?ar[place],-ni:,2
72,a[arm] ?ar[place],-bi:,1
73,a[arm] ?ar[place],-na:bad[open],1
76,a[arm] ?ar[place],:dar[split],1
77,a[arm] ?ar[place],:hulu[bad],1
78,a[arm] ?ar[place],:sed[cold],1
79,a[arm] ?ar[place],:tuku[acquire],1
82,a[arm] šum[give],:,35
86,a[arm] šum[give],:mah[great],13
81,a[arm] šum[give],-?u??:,1
83,a[arm] šum[give],:An[1],1
84,a[arm] šum[give],:gal[big],1
85,a[arm] šum[give],:kušu[tired],1
87,a[arm] šum[give],:me[battle],1
88,a[arm] šum[give],:tukul[weapon],1
90,a[water] de[pour],:,31
97,a[water] de[pour],:sed[cold],4
91,a[water] de[pour],:dug[good],3
99,a[water] de[pour],:ummud[waterskin],3
96,a[water] de[pour],:mun[salt],2
89,a[water] de[pour],-:u[grass],1
92,a[water] de[pour],:eša[flour],1
93,a[water] de[pour],:he?al[plenty],1
94,a[water] de[pour],:ki[place],1
95,a[water] de[pour],:kindar[hole],1
98,a[water] de[pour],:tul[fountain],1
100,a[water] de[pour],:?iri[foot],1
101,a[water] de[pour],:šu[hand],1
102,a[water] de[pour],:šunim[spring],1
105,a[water] dug[speak],:,25
104,a[water] dug[speak],-gin?:kilulak[murder],2
114,a[water] dug[speak],:šu[hand],2
103,a[water] dug[speak],-bi:sikil[pure],1
106,a[water] dug[speak],:Damgalnunak[1],1
107,a[water] dug[speak],:de[bring],1
108,a[water] dug[speak],:gub[bathe],1
109,a[water] dug[speak],:kab[test],1
110,a[water] dug[speak],:mal[be],1
111,a[water] dug[speak],:na?[drink],1
112,a[water] dug[speak],:sig[weak],1
113,a[water] dug[speak],:sikil[pure],1
115,a[water] dug[speak],:šunim[spring],1
118,a[water] gi[turn],:huš[reddish],4
117,a[water] gi[turn],:,2
116,a[water] gi[turn],-d:,1
119,a[water] gi[turn],:id[river],1
120,a[water] gi[turn],:ki[place],1
122,a[water] rah[beat],:,8
121,a[water] rah[beat],-e:,2
124,a[water] ri[impose],:,21
133,a[water] ri[impose],:šag[heart],6
128,a[water] ri[impose],:hur[ever],4
123,a[water] ri[impose],-e:,2
132,a[water] ri[impose],:zid[right],2
125,a[water] ri[impose],:An[1],1
126,a[water] ri[impose],:Suen[1],1
127,a[water] ri[impose],:barag[sanctum],1
129,a[water] ri[impose],:lugal[king],1
130,a[water] ri[impose],:nun[prince],1
131,a[water] ri[impose],:zagin[lapis],1
134,a[water] sur[press],:,5
