,compound,middle_0,middle_suff,middle_term
0,a[arm] a?[measure],95,25,5
1,a[arm] bad[open],15,1,0
2,a[arm] dar[split],1,0,0
3,a[arm] dub[tremble],5,1,0
4,a[arm] e[leave],14,11,3
5,a[arm] gur[turn],2,0,2
6,a[arm] il[raise],7,0,2
7,a[arm] la[hang],11,6,6
8,a[arm] mah[great],59,0,5
9,a[arm] pad[find],4,1,2
10,a[arm] sud[distant],11,9,5
11,a[arm] tal[broad],7,0,1
12,a[arm] tulu[slacken],1,0,0
13,a[arm] zig[rise],14,1,1
14,a[arm] ?al[be],2,2,11
15,a[arm] ?ar[place],11,3,11
16,a[arm] šum[give],35,1,18
17,a[water] de[pour],31,0,21
18,a[water] dug[speak],25,0,14
19,a[water] gi[turn],2,1,6
20,a[water] rah[beat],8,2,0
21,a[water] ri[impose],21,2,18
22,a[water] sur[press],5,0,1
23,a[water] tu[cvve],44,0,5
24,a[water] ?ar[place],7,4,5
25,ad[voice] gi[turn],63,9,1
26,ad[voice] ?ar[place],4,0,2
27,ad[voice] ša[cvve],16,1,1
28,agakar[conquest] sig[put],0,6,0
29,al[hoe] ak[do],6,0,1
30,al[hoe] du[build],7,0,0
31,al[hoe] dug[speak],62,0,3
32,aš[curse] bala[turn],7,0,1
33,aš[curse] sar[run],5,0,0
34,a?ur[armpit] dab[seize],3,0,0
35,bar[outside] hu?[hire],4,1,0
36,bar[outside] sag[good],1,1,0
37,bar[outside] sed[cold],2,1,0
38,bar[outside] tab[burn],2,0,0
39,budbad[sound] za[cvve],1,0,0
40,burburbabbar[noise] za[cvve],1,0,0
41,dalla[bright] e[leave],49,0,3
42,da?al[wide] tag[touch],10,0,1
43,did[lawsuit] kud[cut],40,12,8
44,did[lawsuit] ?ar[place],0,0,3
45,dub[knee] bad[open],18,1,1
46,dub[knee] dub[tremble],1,0,0
47,dub[knee] gurum[bend],4,0,0
48,dub[knee] nir[winnow],1,0,0
49,dub[knee] sil[split],1,0,0
50,dub[knee] ?al[be],4,0,0
51,dub[knee] ?ar[place],5,2,1
52,dubdab[noise] za[cvve],2,0,1
53,dubuldabal[sound] za[cvve],1,0,0
54,dud[combat] mu[grow],20,3,12
55,dud[combat] ?ar[place],2,0,1
56,dumdam[sound] ak[do],0,1,0
57,dumdam[sound] za[cvve],9,0,0
58,dur[buttocks] ?ar[place],99,5,10
59,eme[tongue] bala[turn],1,0,2
60,en[cvne] tar[cut],84,21,5
61,ennu?[imprisonment] ak[do],19,2,0
62,ennu?[imprisonment] du[build],2,0,1
63,er[tears] gul[destroy],2,2,1
64,er[tears] pad[find],22,1,1
65,er[tears] šeš[weep],32,8,54
66,eš[rope] rah[beat],1,0,0
67,ešbar[decision] ki?[seek],14,0,1
68,gaba[chest] ri[impose],29,7,0
69,gaba[chest] rugu[withstand],6,0,1
70,gaba[chest] zig[rise],6,11,0
71,gabal[fight] du[build],6,0,0
72,gu[neck] bar[outside],1,0,0
73,gu[neck] du[build],8,4,1
74,gu[neck] e[leave],10,0,3
75,gu[neck] gid[long],11,3,4
76,gu[neck] gur[turn],25,0,0
77,gu[neck] il[raise],3,2,2
78,gu[neck] la[hang],17,48,12
79,gu[neck] mer[cvve],10,0,0
80,gu[neck] peš[thick],11,0,2
81,gu[neck] si[fill],21,2,0
82,gu[neck] us[follow],5,0,2
83,gu[neck] zig[rise],6,14,18
84,gu[neck] ?al[be],5,5,16
85,gu[neck] ?ar[place],66,6,17
86,gu[neck] šub[fall],5,8,3
87,gu[voice] de[pour],279,0,31
88,gu[voice] dub[tremble],6,0,1
89,gu[voice] e[leave],3,0,1
90,gu[voice] mur[noise],5,0,0
91,gu[voice] rah[beat],45,0,6
92,gu[voice] zig[rise],2,0,1
93,gu[voice] šum[give],2,0,0
94,gud[nest] us[follow],15,0,0
95,gumgam[sound] za[cvve],3,0,0
96,guruš[cut] bur[spread],10,0,0
97,haš[thigh] dab[seize],1,0,0
98,haš[thigh] dug[speak],2,0,0
99,haš[thigh] gid[long],5,0,0
100,haš[thigh] rah[beat],3,0,3
101,haš[thigh] ?ar[place],2,0,0
102,hili[attractiveness] kar[flee],1,0,0
103,hili[attractiveness] te?[approach],6,0,0
104,hub[foot] gub[stand],2,0,0
105,hub[foot] sar[run],6,0,0
106,hub[foot] šuš[cover],1,1,0
107,hulu[bad] gig[sick],50,2,2
108,hulu[bad] tuku[acquire],0,0,1
109,hunha[noise] za[cvve],1,0,0
110,i[oil] sur[press],2,0,0
111,ig[door] gub[stand],3,0,5
112,igi[eye] bad[open],2,0,0
113,igi[eye] bar[outside],92,3,63
