,all_middle,comp_text,compound,id_text,line_id,line_label,link,middle_terms,nom_suff
5,-ba:,a?-ba mu-un-da-a??-e,a[arm] a?[measure],c.1.2.2,28,A28,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.2.2&display=Crit&charenc=gcirc#,,-ba
96,-bi:,a?-bi a??-?a?,a[arm] a?[measure],c.4.07.3,145,156,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.07.3&display=Crit&charenc=gcirc#,,-bi
35,-bi:,a?-bi ha-ba-an-a??-eš-am?,a[arm] a?[measure],c.2.2.4,245,245,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.4&display=Crit&charenc=gcirc#,,-bi
29,-bi:,a?-bi he?-em-ma-an-a??-eš,a[arm] a?[measure],c.2.2.2,163,161,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.2&display=Crit&charenc=gcirc#,,-bi
30,-bi:,a?-bi he?-em-ma-an-a??-eš,a[arm] a?[measure],c.2.2.2,164,162,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.2&display=Crit&charenc=gcirc#,,-bi
48,-bi:,a?-bi hu-mu-da-na-a??,a[arm] a?[measure],c.2.5.4.01,132,A132,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.01&display=Crit&charenc=gcirc#,,-bi
33,-bi:,a?-bi i?-a??-?a?-a-ke?,a[arm] a?[measure],c.2.2.4,135,135,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.4&display=Crit&charenc=gcirc#,,-bi
22,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],c.2.1.6,12,12,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.1.6&display=Crit&charenc=gcirc#,,-bi
23,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],c.2.1.6,16,16,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.1.6&display=Crit&charenc=gcirc#,,-bi
67,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],c.2.6.7.1,52,52,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.6.7.1&display=Crit&charenc=gcirc#,,-bi
100,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],c.4.14.1,250,250,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.14.1&display=Crit&charenc=gcirc#,,-bi
0,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],etcsri/Q000376,23,23,,,-bi
1,-bi:,a?-bi mu-da-an-a??,a[arm] a?[measure],etcsri/Q000376,31,31,,,-bi
63,-bi:,a?-bi mu-e-da-a-a??,a[arm] a?[measure],c.2.5.6.2,12,12,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.6.2&display=Crit&charenc=gcirc#,,-bi
46,-bi:,a?-bi mu-e-da-an-a??,a[arm] a?[measure],c.2.5.3.2,11,11,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.3.2&display=Crit&charenc=gcirc#,,-bi
18,-bi:,a?-bi mu-un-da-an-a??,a[arm] a?[measure],c.1.8.1.4,363,8,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.8.1.4&display=Crit&charenc=gcirc#,,-bi
52,-bi:,a?-bi mu-un-da-an-a??,a[arm] a?[measure],c.2.5.4.09,5,5,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.09&display=Crit&charenc=gcirc#,,-bi
62,-bi:,a?-bi mu-un-da-an-a??,a[arm] a?[measure],c.2.5.6.1,84,84,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.6.1&display=Crit&charenc=gcirc#,,-bi
37,-bi:,a?-bi mu-u?-da-a??,a[arm] a?[measure],c.2.4.1.2,10,10,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.4.1.2&display=Crit&charenc=gcirc#,,-bi
50,-zu:,a?-zu mu-da-X-a??,a[arm] a?[measure],c.2.5.4.05,33,C5,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.05&display=Crit&charenc=gcirc#,,-zu
43,-zu:,a?-zu mu-da-an-a??,a[arm] a?[measure],c.2.4.2.18,4,4,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.4.2.18&display=Crit&charenc=gcirc#,,-zu
71,-še?:,a?-še? mu-e-da-a-a??,a[arm] a?[measure],c.3.1.01,8,8,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.01&display=Crit&charenc=gcirc#,,-še?
74,-še?:,a?-še? mu-e-da-a-a??,a[arm] a?[measure],c.3.1.02,16,16,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.02&display=Crit&charenc=gcirc#,,-še?
85,-še?:,a?-še? mu-e-da-a-a??,a[arm] a?[measure],c.3.1.17,4,4,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.17&display=Crit&charenc=gcirc#,,-še?
82,-še?:,a?-še? mu-e-da-a??,a[arm] a?[measure],c.3.1.16,23,23,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.16&display=Crit&charenc=gcirc#,,-še?
79,-še?:ki?[work],a?-še? ki??-še? mu-e-da-a??,a[arm] a?[measure],c.3.1.15,8,8,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.15&display=Crit&charenc=gcirc#,ki?[work],-še?
76,:,a ga-zi,a[arm] a?[measure],c.3.1.08,67,36,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.08&display=Crit&charenc=gcirc#,,
77,:,a mu-da-an-a??,a[arm] a?[measure],c.3.1.10,12,12,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.10&display=Crit&charenc=gcirc#,,
118,:,a? al-a??-e,a[arm] a?[measure],c.5.4.11,19,A19,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.5.4.11&display=Crit&charenc=gcirc#,,
1,:,a? a??,a[arm] a?[measure],c.0.2.13,15,15,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.0.2.13&display=Crit&charenc=gcirc#,,
10,:,a? a??,a[arm] a?[measure],c.1.3.5,31,B22,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.3.5&display=Crit&charenc=gcirc#,,
65,:,a? a??,a[arm] a?[measure],c.2.5.7.2,15,B1,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.7.2&display=Crit&charenc=gcirc#,,
88,:,a? a??,a[arm] a?[measure],c.3.3.09,6,6,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.3.09&display=Crit&charenc=gcirc#,,
27,:,a? a??-ba,a[arm] a?[measure],c.2.1.7,709,711,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.1.7&display=Crit&charenc=gcirc#,,
32,:,a? a??-e,a[arm] a?[measure],c.2.2.3,460,453,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.2.3&display=Crit&charenc=gcirc#,,
47,:,a? a??-e,a[arm] a?[measure],c.2.5.4.01,15,A15,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.01&display=Crit&charenc=gcirc#,,
54,:,a? a??-e,a[arm] a?[measure],c.2.5.4.17,27,B7,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.4.17&display=Crit&charenc=gcirc#,,
104,:,a? a??-e-de?,a[arm] a?[measure],c.4.27.02,6,A6,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.4.27.02&display=Crit&charenc=gcirc#,,
59,:,a? a??-ta,a[arm] a?[measure],c.2.5.5.5,7,7,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.5.5&display=Crit&charenc=gcirc#,,
83,:,a? a??-ta,a[arm] a?[measure],c.3.1.16,35,35,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.3.1.16&display=Crit&charenc=gcirc#,,
58,:,a? a??-zu,a[arm] a?[measure],c.2.5.5.5,7,7,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.2.5.5.5&display=Crit&charenc=gcirc#,,
0,:,a? a??-?a?,a[arm] a?[measure],c.0.2.01,57,57,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.0.2.01&display=Crit&charenc=gcirc#,,
6,:,a? a??-?a?,a[arm] a?[measure],c.1.2.2,44,A44,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.2.2&display=Crit&charenc=gcirc#,,
14,:,a? a??-?a?,a[arm] a?[measure],c.1.8.1.3,298,F17,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.8.1.3&display=Crit&charenc=gcirc#,,
15,:,a? a??-?a?,a[arm] a?[measure],c.1.8.1.3,373,F111,http://etcsl.orinst.ox.ac.uk/cgi-bin/etcsl.cgi?text=c.1.8.1.3&display=Crit&charenc=gcirc#,,
